k,arm,selection_share,method,median_m,effect_pct,draw_min_m,draw_max_m,draws,range_status,source_file,source_line
8,top,0.586,Min-Max,1492.0,220.1,1045.0,1910.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,149
8,bottom,0.026,WCL,601.0,0.6,601.0,601.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,151
8,bottom,0.026,ABS,646.0,0.8,643.0,648.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,151
8,bottom,0.026,DIFF,964.0,0.0,950.0,966.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,151
8,bottom,0.026,Min-Max,472.0,1.2,468.0,474.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,151
8,random,0.271,WCL,697.0,16.6,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,153
8,random,0.271,ABS,736.0,14.8,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,153
8,random,0.271,DIFF,1024.0,6.3,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,153
8,random,0.271,Min-Max,654.0,40.3,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,153
9,top,0.635,WCL,1778.0,197.5,1679.0,2132.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,154
9,top,0.635,ABS,1076.0,67.9,982.0,1162.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,154
9,top,0.635,DIFF,1362.0,41.3,1263.0,1537.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,154
9,top,0.635,Min-Max,1324.0,184.1,1031.0,1513.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,154
9,bottom,0.04,WCL,601.0,0.6,600.0,601.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,156
9,bottom,0.04,ABS,646.0,0.7,644.0,648.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,156
9,bottom,0.04,DIFF,954.0,-1.0,948.0,971.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,156
9,bottom,0.04,Min-Max,472.0,1.3,468.0,475.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,156
9,random,0.306,WCL,833.0,39.4,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,158
9,random,0.306,ABS,769.0,19.9,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,158
9,random,0.306,DIFF,1011.0,4.9,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,158
9,random,0.306,Min-Max,723.0,55.2,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,158
10,top,0.682,WCL,2287.0,282.6,1658.0,2874.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,159
10,top,0.682,ABS,1170.0,82.5,1084.0,1322.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,159
10,top,0.682,DIFF,1446.0,50.0,1302.0,1677.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,159
10,top,0.682,Min-Max,1597.0,242.8,1415.0,2176.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,159
10,bottom,0.054,WCL,601.0,0.6,601.0,601.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,161
10,bottom,0.054,ABS,646.0,0.8,645.0,648.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,161
10,bottom,0.054,DIFF,956.0,-0.8,952.0,970.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,161
10,bottom,0.054,Min-Max,468.0,0.5,463.0,474.0,8,RETAINED_PRINTED_METRES,results/base_logs/diffrepair_e2b_k14_dir8.txt,161
10,random,0.375,WCL,905.0,51.4,,,8,NOT_RETAINED_IN_HISTORICAL_LOG,results/base_logs/diffrepair_e2b_k14_dir8.txt,163
