stage,substrate,exponent,method,condition,reference_m,median_m,min_m,max_m,replicates,effect_pct,min_pct,max_pct,precision
exact7,recovered26_common_minus71,4.7,ABS,fraction_f7_D10000,644.4770106056751,733.3079248167942,647.1873386667316,912.2731298343867,8,13.783410850859738,0.42054689561531383,41.55247042513412,full precision derived from retained author NPZ
exact7,recovered26_common_minus71,4.7,DIFF,fraction_f7_D10000,1001.075109489035,962.4268896638451,814.9607295009489,1297.321041333707,8,-3.860671338129313,-18.591450154332765,29.592777708346052,full precision derived from retained author NPZ
exact7,recovered26_common_minus71,4.7,Min-Max,fraction_f7_D10000,509.6405932843563,740.2308871176969,559.0012148593146,1175.3639580998633,8,45.245668589174095,9.685378720885616,130.62604776540311,full precision derived from retained author NPZ
exact7,official26_common_minus71,4.7,WCL,reference,577.0037145005424,577.0037145005424,577.0037145005424,577.0037145005424,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official26_common_minus71,4.7,ABS,reference,549.1908372931518,549.1908372931518,549.1908372931518,549.1908372931518,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official26_common_minus71,4.7,DIFF,reference,1048.1528987926704,1048.1528987926704,1048.1528987926704,1048.1528987926704,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official26_common_minus71,4.7,Min-Max,reference,480.5742969155297,480.5742969155297,480.5742969155297,480.5742969155297,1,0.0,0.0,0.0,full precision derived from retained author NPZ
exact7,official26_common_minus71,4.7,WCL,fraction_f7_D1000,577.0037145005424,648.9452600037584,567.4988382255332,815.5284373388916,8,12.468125194911275,-1.6472816441462075,41.338507334362234,full precision derived from retained author NPZ
exact7,official26_common_minus71,4.7,ABS,fraction_f7_D1000,549.1908372931518,601.5015590120468,519.6476715956996,651.8411341935836,8,9.525053618287524,-5.379398870357043,18.691188914653754,full precision derived from retained author NPZ
exact7,official26_common_minus71,4.7,DIFF,fraction_f7_D1000,1048.1528987926704,1253.9926528925423,1028.5141271590928,1573.6964394346849,8,19.638332760131785,-1.8736552325713889,50.139969201761424,full precision derived from retained author NPZ
exact7,official26_common_minus71,4.7,Min-Max,fraction_f7_D1000,480.5742969155297,518.2885954981327,473.4059618780433,583.3627338122346,8,7.8477560753175375,-1.491618483030607,21.388667175176035,full precision derived from retained author NPZ
exact7,official26_common_minus71,4.7,WCL,fraction_f7_D10000,577.0037145005424,636.8033773533498,591.8883769135691,729.2278459351355,8,10.363826323816703,2.579647589601908,26.381828679622828,full precision derived from retained author NPZ
exact7,official26_common_minus71,4.7,ABS,fraction_f7_D10000,549.1908372931518,609.9839892624937,560.8384497030411,741.5786950328422,8,11.069585987446311,2.120867942243521,35.0311484962004,full precision derived from retained author NPZ
