D_m,f,method,median_m,effect_pct,draw_min_m,draw_max_m,draws,source_file,source_line,range_line,precision
2500,7,WCL,700.0,17.2,602.0,1371.0,8,results/base_logs/diffrepair_e1_d2500.txt,80,81,original printed whole-metre range; effect at one decimal
2500,7,ABS,696.0,8.5,611.0,761.0,8,results/base_logs/diffrepair_e1_d2500.txt,80,81,original printed whole-metre range; effect at one decimal
2500,7,DIFF,1075.0,11.5,891.0,1375.0,8,results/base_logs/diffrepair_e1_d2500.txt,80,81,original printed whole-metre range; effect at one decimal
2500,7,Min-Max,557.0,19.5,476.0,952.0,8,results/base_logs/diffrepair_e1_d2500.txt,80,81,original printed whole-metre range; effect at one decimal
2500,14,WCL,877.0,46.8,658.0,1539.0,8,results/base_logs/diffrepair_e1_d2500.txt,82,83,original printed whole-metre range; effect at one decimal
2500,14,ABS,741.0,15.6,678.0,904.0,8,results/base_logs/diffrepair_e1_d2500.txt,82,83,original printed whole-metre range; effect at one decimal
2500,14,DIFF,1127.0,16.9,923.0,1319.0,8,results/base_logs/diffrepair_e1_d2500.txt,82,83,original printed whole-metre range; effect at one decimal
2500,14,Min-Max,658.0,41.2,550.0,1154.0,8,results/base_logs/diffrepair_e1_d2500.txt,82,83,original printed whole-metre range; effect at one decimal
2500,21,WCL,1048.0,75.3,798.0,1292.0,8,results/base_logs/diffrepair_e1_d2500.txt,84,85,original printed whole-metre range; effect at one decimal
2500,21,ABS,843.0,31.5,726.0,1083.0,8,results/base_logs/diffrepair_e1_d2500.txt,84,85,original printed whole-metre range; effect at one decimal
2500,21,DIFF,1306.0,35.5,1087.0,1530.0,8,results/base_logs/diffrepair_e1_d2500.txt,84,85,original printed whole-metre range; effect at one decimal
2500,21,Min-Max,773.0,65.8,684.0,1020.0,8,results/base_logs/diffrepair_e1_d2500.txt,84,85,original printed whole-metre range; effect at one decimal
2500,29,WCL,1529.0,155.9,1310.0,2108.0,8,results/base_logs/diffrepair_e1_d2500.txt,86,87,original printed whole-metre range; effect at one decimal
2500,29,ABS,1141.0,78.1,975.0,1339.0,8,results/base_logs/diffrepair_e1_d2500.txt,86,87,original printed whole-metre range; effect at one decimal
2500,29,DIFF,1619.0,67.9,1395.0,1946.0,8,results/base_logs/diffrepair_e1_d2500.txt,86,87,original printed whole-metre range; effect at one decimal
2500,29,Min-Max,1058.0,127.1,891.0,1505.0,8,results/base_logs/diffrepair_e1_d2500.txt,86,87,original printed whole-metre range; effect at one decimal
10000,1,WCL,598.0,0.1,597.0,640.0,8,results/base_logs/diffrepair_e1_d10000.txt,76,77,original printed whole-metre range; effect at one decimal
10000,1,ABS,645.0,0.6,640.0,663.0,8,results/base_logs/diffrepair_e1_d10000.txt,76,77,original printed whole-metre range; effect at one decimal
10000,1,DIFF,957.0,-0.8,887.0,987.0,8,results/base_logs/diffrepair_e1_d10000.txt,76,77,original printed whole-metre range; effect at one decimal
10000,1,Min-Max,467.0,0.1,464.0,552.0,8,results/base_logs/diffrepair_e1_d10000.txt,76,77,original printed whole-metre range; effect at one decimal
10000,3,WCL,622.0,4.0,598.0,895.0,8,results/base_logs/diffrepair_e1_d10000.txt,78,79,original printed whole-metre range; effect at one decimal
10000,3,ABS,681.0,6.3,643.0,767.0,8,results/base_logs/diffrepair_e1_d10000.txt,78,79,original printed whole-metre range; effect at one decimal
10000,3,DIFF,965.0,0.1,898.0,1156.0,8,results/base_logs/diffrepair_e1_d10000.txt,78,79,original printed whole-metre range; effect at one decimal
10000,3,Min-Max,549.0,17.8,468.0,802.0,8,results/base_logs/diffrepair_e1_d10000.txt,78,79,original printed whole-metre range; effect at one decimal
10000,7,WCL,706.0,18.1,599.0,1475.0,8,results/base_logs/diffrepair_e1_d10000.txt,80,81,original printed whole-metre range; effect at one decimal
10000,7,ABS,705.0,10.0,660.0,924.0,8,results/base_logs/diffrepair_e1_d10000.txt,80,81,original printed whole-metre range; effect at one decimal
10000,7,DIFF,948.0,-1.7,841.0,1300.0,8,results/base_logs/diffrepair_e1_d10000.txt,80,81,original printed whole-metre range; effect at one decimal
10000,7,Min-Max,703.0,50.8,502.0,1121.0,8,results/base_logs/diffrepair_e1_d10000.txt,80,81,original printed whole-metre range; effect at one decimal
10000,14,WCL,916.0,53.3,669.0,1806.0,8,results/base_logs/diffrepair_e1_d10000.txt,82,83,original printed whole-metre range; effect at one decimal
10000,14,ABS,878.0,37.0,757.0,1139.0,8,results/base_logs/diffrepair_e1_d10000.txt,82,83,original printed whole-metre range; effect at one decimal
10000,14,DIFF,1107.0,14.8,981.0,1443.0,8,results/base_logs/diffrepair_e1_d10000.txt,82,83,original printed whole-metre range; effect at one decimal
10000,14,Min-Max,918.0,97.0,656.0,1575.0,8,results/base_logs/diffrepair_e1_d10000.txt,82,83,original printed whole-metre range; effect at one decimal
10000,21,WCL,1403.0,134.8,804.0,6215.0,8,results/base_logs/diffrepair_e1_d10000.txt,84,85,original printed whole-metre range; effect at one decimal
10000,21,ABS,1155.0,80.2,915.0,2880.0,8,results/base_logs/diffrepair_e1_d10000.txt,84,85,original printed whole-metre range; effect at one decimal
10000,21,DIFF,1530.0,58.7,1098.0,3104.0,8,results/base_logs/diffrepair_e1_d10000.txt,84,85,original printed whole-metre range; effect at one decimal
10000,21,Min-Max,1441.0,209.2,1068.0,3917.0,8,results/base_logs/diffrepair_e1_d10000.txt,84,85,original printed whole-metre range; effect at one decimal
10000,29,WCL,5649.0,845.2,4923.0,7095.0,8,results/base_logs/diffrepair_e1_d10000.txt,86,87,original printed whole-metre range; effect at one decimal
10000,29,ABS,3012.0,369.8,2460.0,3802.0,8,results/base_logs/diffrepair_e1_d10000.txt,86,87,original printed whole-metre range; effect at one decimal
10000,29,DIFF,3305.0,242.9,2751.0,4380.0,8,results/base_logs/diffrepair_e1_d10000.txt,86,87,original printed whole-metre range; effect at one decimal
10000,29,Min-Max,3182.0,582.9,2354.0,4548.0,8,results/base_logs/diffrepair_e1_d10000.txt,86,87,original printed whole-metre range; effect at one decimal
