case_id,bin_center,tolerance,accepted_index,proposal_index,k,exact_S,selected_reception_numerator,denominator,receiver_ids,displacement_m,direction_seed,direction_realizations_per_subset,subset_rng_seed,method,reference_m,median_error_m,change_pct,raw_npz,raw_sha256,provenance
bin10_subset6,0.1,0.025,6,72,4,0.0955992509363296,1021,10680,17;32;41;71,5000,6706,1,6606,DIFF,963.9527294582572,887.4263245181924,-7.938813035269144,raw/bin10_subset6.npz,e2de4b724a8ebd133fb95e819db23bd15115e79170e09eb00fcd3da285a9f038,RC5 same-design reporting recovery; assistant runtime
bin10_subset6,0.1,0.025,6,72,4,0.0955992509363296,1021,10680,17;32;41;71,5000,6706,1,6606,Min-Max,466.0055266886784,519.5389131296106,11.487714925041207,raw/bin10_subset6.npz,e2de4b724a8ebd133fb95e819db23bd15115e79170e09eb00fcd3da285a9f038,RC5 same-design reporting recovery; assistant runtime
bin10_subset7,0.1,0.025,7,89,3,0.1104868913857678,1180,10680,10;18;23,5000,6707,1,6606,WCL,597.6726773741443,874.0475358881693,46.24184256310143,raw/bin10_subset7.npz,b94a8f9fafe19db973b894405e35cd0cf386454ef29ac07e75e14b017a06cd90,RC5 same-design reporting recovery; assistant runtime
bin10_subset7,0.1,0.025,7,89,3,0.1104868913857678,1180,10680,10;18;23,5000,6707,1,6606,ABS,641.0128583782526,743.3586849023012,15.966267319969383,raw/bin10_subset7.npz,b94a8f9fafe19db973b894405e35cd0cf386454ef29ac07e75e14b017a06cd90,RC5 same-design reporting recovery; assistant runtime
bin10_subset7,0.1,0.025,7,89,3,0.1104868913857678,1180,10680,10;18;23,5000,6707,1,6606,DIFF,963.9527294582572,1014.4496037555095,5.238521843870049,raw/bin10_subset7.npz,b94a8f9fafe19db973b894405e35cd0cf386454ef29ac07e75e14b017a06cd90,RC5 same-design reporting recovery; assistant runtime
bin10_subset7,0.1,0.025,7,89,3,0.1104868913857678,1180,10680,10;18;23,5000,6707,1,6606,Min-Max,466.0055266886784,586.3383943569979,25.822197544174106,raw/bin10_subset7.npz,b94a8f9fafe19db973b894405e35cd0cf386454ef29ac07e75e14b017a06cd90,RC5 same-design reporting recovery; assistant runtime
bin20_subset0,0.2,0.025,0,22,8,0.18089887640449437,1932,10680,1;7;10;15;18;33;35;41,5000,6700,1,6606,WCL,597.6726773741443,878.9585083847958,47.0635251801156,raw/bin20_subset0.npz,8b734a2fa38aa425ee0e3bec58410f5174ecea8da256f0dbefa7e8f157b4473d,RC5 same-design reporting recovery; assistant runtime
bin20_subset0,0.2,0.025,0,22,8,0.18089887640449437,1932,10680,1;7;10;15;18;33;35;41,5000,6700,1,6606,ABS,641.0128583782526,744.050216078331,16.074148334677783,raw/bin20_subset0.npz,8b734a2fa38aa425ee0e3bec58410f5174ecea8da256f0dbefa7e8f157b4473d,RC5 same-design reporting recovery; assistant runtime
bin20_subset0,0.2,0.025,0,22,8,0.18089887640449437,1932,10680,1;7;10;15;18;33;35;41,5000,6700,1,6606,DIFF,963.9527294582572,941.7236385209143,-2.3060353747673585,raw/bin20_subset0.npz,8b734a2fa38aa425ee0e3bec58410f5174ecea8da256f0dbefa7e8f157b4473d,RC5 same-design reporting recovery; assistant runtime
bin20_subset0,0.2,0.025,0,22,8,0.18089887640449437,1932,10680,1;7;10;15;18;33;35;41,5000,6700,1,6606,Min-Max,466.0055266886784,663.5187404034302,42.38430713863686,raw/bin20_subset0.npz,8b734a2fa38aa425ee0e3bec58410f5174ecea8da256f0dbefa7e8f157b4473d,RC5 same-design reporting recovery; assistant runtime
bin20_subset1,0.2,0.025,1,28,5,0.1850187265917603,1976,10680,4;6;12;69;71,5000,6701,1,6606,WCL,597.6726773741443,601.1014524576458,0.5736877748144169,raw/bin20_subset1.npz,1bff359108d31bac15822064078a4b00da952b394be87adcaa9cf065dabdbe65,RC5 same-design reporting recovery; assistant runtime
bin20_subset1,0.2,0.025,1,28,5,0.1850187265917603,1976,10680,4;6;12;69;71,5000,6701,1,6606,ABS,641.0128583782526,722.561670936998,12.721868445051461,raw/bin20_subset1.npz,1bff359108d31bac15822064078a4b00da952b394be87adcaa9cf065dabdbe65,RC5 same-design reporting recovery; assistant runtime
bin20_subset1,0.2,0.025,1,28,5,0.1850187265917603,1976,10680,4;6;12;69;71,5000,6701,1,6606,DIFF,963.9527294582572,920.9685235593238,-4.459161179313282,raw/bin20_subset1.npz,1bff359108d31bac15822064078a4b00da952b394be87adcaa9cf065dabdbe65,RC5 same-design reporting recovery; assistant runtime
bin20_subset1,0.2,0.025,1,28,5,0.1850187265917603,1976,10680,4;6;12;69;71,5000,6701,1,6606,Min-Max,466.0055266886784,648.33854364135,39.126792819022036,raw/bin20_subset1.npz,1bff359108d31bac15822064078a4b00da952b394be87adcaa9cf065dabdbe65,RC5 same-design reporting recovery; assistant runtime
bin20_subset2,0.2,0.025,2,32,7,0.18174157303370786,1941,10680,1;5;7;17;20;41;50,5000,6702,1,6606,WCL,597.6726773741443,676.9989843806627,13.272533614057107,raw/bin20_subset2.npz,e3f81becacc9736dabbc3c16bda027d384c7d03bd2d976e6c2bf085c8a95ae9e,RC5 same-design reporting recovery; assistant runtime
bin20_subset2,0.2,0.025,2,32,7,0.18174157303370786,1941,10680,1;5;7;17;20;41;50,5000,6702,1,6606,ABS,641.0128583782526,685.9525464727171,7.010731143234917,raw/bin20_subset2.npz,e3f81becacc9736dabbc3c16bda027d384c7d03bd2d976e6c2bf085c8a95ae9e,RC5 same-design reporting recovery; assistant runtime
