substrate,map_n,D_m,f,fraction_pct,method,reference_m,median_m,effect_pct,draw_min_m,draw_max_m,draws
official33_published,33,10000,7,21.21212121212121,DIFF,1011.5353965144922,813.4203435734203,-19.585577887212718,747.054533945844,950.0863884904463,8
official33_published,33,10000,7,21.21212121212121,Min-Max,467.635802988949,579.3750789530478,23.894508343865915,520.85051074687,826.9043331787013,8
official33_repaired71,33,1000,7,21.21212121212121,WCL,579.9529674978758,623.8286782174695,7.565391191787362,529.0431214514989,747.602116520859,8
official33_repaired71,33,1000,7,21.21212121212121,ABS,527.516800683896,543.5525021689593,3.039846591478023,523.6623896444892,638.3363846396027,8
official33_repaired71,33,1000,7,21.21212121212121,DIFF,1012.5701806878126,1113.3323898810072,9.951133374750327,1007.0861461980845,1607.0934296208256,8
official33_repaired71,33,1000,7,21.21212121212121,Min-Max,465.808146845612,495.63368010424034,6.402965139318134,456.26370753554505,545.9344812006858,8
official33_repaired71,33,10000,7,21.21212121212121,WCL,579.9529674978758,668.8270113373476,15.324353666626827,582.2491358896957,758.7681417829467,8
official33_repaired71,33,10000,7,21.21212121212121,ABS,527.516800683896,583.5839057831992,10.628496576149857,532.5873914836142,643.4900401784279,8
official33_repaired71,33,10000,7,21.21212121212121,DIFF,1012.5701806878126,813.2650404820145,-19.683093972845946,746.7338780630101,949.7703509382017,8
official33_repaired71,33,10000,7,21.21212121212121,Min-Max,465.808146845612,578.3835532528626,24.16776245104248,519.2717841158191,822.1295615282183,8
recovered26_common_minus71,26,1000,7,26.923076923076923,WCL,613.7384027087339,650.3330611888823,5.962582481174046,613.7384027087339,867.1889360165678,8
recovered26_common_minus71,26,1000,7,26.923076923076923,ABS,644.477010605581,700.4934740028364,8.691770610191305,624.7601324130567,779.5586099336142,8
recovered26_common_minus71,26,1000,7,26.923076923076923,DIFF,1001.0751094893114,1049.7704443293976,4.8643038248076715,947.1270886142642,1554.0537348576377,8
recovered26_common_minus71,26,1000,7,26.923076923076923,Min-Max,509.6405932843563,571.6867790187766,12.174498372385605,505.1581293520517,688.4825472799769,8
recovered26_common_minus71,26,10000,7,26.923076923076923,WCL,613.7384027087339,764.9962339248575,24.645326176192864,633.1915431603044,1407.8206169883258,8
recovered26_common_minus71,26,10000,7,26.923076923076923,ABS,644.477010605581,733.3079248167699,13.783410850872581,647.1873386669556,912.2731298339397,8
recovered26_common_minus71,26,10000,7,26.923076923076923,DIFF,1001.0751094893114,962.4268896639247,-3.8606713381479163,814.9607295009475,1297.321041334018,8
recovered26_common_minus71,26,10000,7,26.923076923076923,Min-Max,509.6405932843563,740.2308871176969,45.245668589174095,559.0012148592184,1175.3639580994097,8
recovered27_common,27,1000,7,25.925925925925927,WCL,593.2183143536402,612.8880025501419,3.315758755346836,587.3579112944899,808.9310532057416,8
recovered27_common,27,1000,7,25.925925925925927,ABS,639.9899678144121,705.6795171770372,10.264152981484555,629.6865396318225,812.3795216310846,8
recovered27_common,27,1000,7,25.925925925925927,DIFF,989.6227832832567,1054.701621186702,6.576125671595205,932.3652626738419,1584.7591683123756,8
recovered27_common,27,1000,7,25.925925925925927,Min-Max,469.82315203559585,504.9010169685917,7.466184835935501,447.2620236573124,673.0366302024922,8
recovered27_common,27,10000,7,25.925925925925927,WCL,593.2183143536402,711.0305400025186,19.85984296139685,598.4417908136295,1437.8986637238436,8
recovered27_common,27,10000,7,25.925925925925927,ABS,639.9899678144121,760.4585955360369,18.823518145609267,644.7002288742,923.132131181666,8
recovered27_common,27,10000,7,25.925925925925927,DIFF,989.6227832832567,960.642158016623,-2.9284517046470135,826.1586227709336,1262.743032815443,8
recovered27_common,27,10000,7,25.925925925925927,Min-Max,469.82315203559585,746.3069983776975,58.84849334141669,510.4660356416244,1178.992444402596,8
recovered29,29,1000,7,24.137931034482758,WCL,597.6726773741443,635.3487468210906,6.303796521613613,595.372771383139,809.5365938722035,8
recovered29,29,1000,7,24.137931034482758,ABS,641.0128583782526,688.5975464497537,7.4233593678431395,623.6323462750568,801.6052175749983,8
recovered29,29,1000,7,24.137931034482758,DIFF,963.9527294582572,1055.102473619894,9.455831326175412,953.1631447668805,1531.493278255501,8
recovered29,29,1000,7,24.137931034482758,Min-Max,466.0055266886784,499.77556565551913,7.246703533068028,472.43852683613045,682.8762502534569,8
recovered29,29,10000,7,24.137931034482758,WCL,597.6726773741443,705.8116263855782,18.093339900786304,598.852900603812,1474.823028615173,8
recovered29,29,10000,7,24.137931034482758,ABS,641.0128583782526,705.1407249405314,10.004146675703316,659.6862981123838,923.5475464807041,8
recovered29,29,10000,7,24.137931034482758,DIFF,963.9527294582572,947.7917423778146,-1.6765331521520896,840.6107882665567,1299.7969946026997,8
recovered29,29,10000,7,24.137931034482758,Min-Max,466.0055266886784,702.6664901152142,50.78501216674207,502.45980015264,1120.647804457496,8
