population=2498 receivers=29 max_gws=10 tau=3.0
conditions=483 total_condition_message_hits_lt2=19695
max_condition_lt2_pct=11.128903
verdict=OPEN: fallback invoked; regenerate affected DIFF outputs

condition,max_gws,messages,zero,one,lt2,lt2_pct,min,median,max
E1_D1000_f7_draw7,10,2498,13,12,25,1.000801,0,5.0,44
E1_D1000_f14_draw0,10,2498,13,23,36,1.441153,0,5.0,44
E1_D1000_f14_draw1,10,2498,12,9,21,0.840673,0,5.0,44
E1_D1000_f14_draw2,10,2498,12,13,25,1.000801,0,5.0,43
E1_D1000_f14_draw3,10,2498,18,21,39,1.561249,0,5.0,44
E1_D1000_f14_draw4,10,2498,10,15,25,1.000801,0,5.0,44
E1_D1000_f14_draw5,10,2498,6,11,17,0.680544,0,5.0,44
E1_D1000_f14_draw6,10,2498,4,13,17,0.680544,0,5.0,44
E1_D1000_f14_draw7,10,2498,12,17,29,1.160929,0,5.0,45
E1_D1000_f21_draw0,10,2498,16,12,28,1.120897,0,5.0,44
E1_D1000_f21_draw1,10,2498,19,19,38,1.521217,0,5.0,45
E1_D1000_f21_draw2,10,2498,18,10,28,1.120897,0,5.0,44
E1_D1000_f21_draw3,10,2498,14,16,30,1.200961,0,5.0,44
E1_D1000_f21_draw4,10,2498,43,57,100,4.003203,0,5.0,44
E1_D1000_f21_draw5,10,2498,70,56,126,5.044035,0,5.0,44
E1_D1000_f21_draw6,10,2498,10,8,18,0.720576,0,5.0,44
E1_D1000_f21_draw7,10,2498,8,11,19,0.760608,0,5.0,44
E1_D1000_f29_draw0,10,2498,48,39,87,3.482786,0,5.0,44
E1_D1000_f29_draw1,10,2498,7,11,18,0.720576,0,5.0,44
E1_D1000_f29_draw2,10,2498,13,16,29,1.160929,0,5.0,44
E1_D1000_f29_draw3,10,2498,9,13,22,0.880705,0,5.0,43
E1_D1000_f29_draw4,10,2498,1,5,6,0.240192,0,5.0,45
E1_D1000_f29_draw5,10,2498,21,16,37,1.481185,0,5.0,44
E1_D1000_f29_draw6,10,2498,9,12,21,0.840673,0,5.0,44
E1_D1000_f29_draw7,10,2498,25,29,54,2.161729,0,4.0,43
E1_D2500_f1_draw0,10,2498,13,12,25,1.000801,0,5.0,44
E1_D2500_f1_draw1,10,2498,13,12,25,1.000801,0,5.0,44
E1_D2500_f1_draw2,10,2498,3,2,5,0.200160,0,5.0,44
E1_D2500_f1_draw3,10,2498,13,12,25,1.000801,0,5.0,44
E1_D2500_f1_draw4,10,2498,13,12,25,1.000801,0,5.0,44
E1_D2500_f1_draw5,10,2498,13,12,25,1.000801,0,5.0,44
E1_D2500_f1_draw6,10,2498,10,12,22,0.880705,0,5.0,44
E1_D2500_f1_draw7,10,2498,13,12,25,1.000801,0,5.0,44
E1_D2500_f3_draw0,10,2498,11,12,23,0.920737,0,5.0,44
E1_D2500_f3_draw1,10,2498,13,12,25,1.000801,0,5.0,44
E1_D2500_f3_draw2,10,2498,14,13,27,1.080865,0,5.0,45
E1_D2500_f3_draw3,10,2498,14,14,28,1.120897,0,5.0,44
E1_D2500_f3_draw4,10,2498,13,12,25,1.000801,0,5.0,44
E1_D2500_f3_draw5,10,2498,11,13,24,0.960769,0,5.0,44
E1_D2500_f3_draw6,10,2498,5,7,12,0.480384,0,5.0,44
E1_D2500_f3_draw7,10,2498,13,12,25,1.000801,0,5.0,45
E1_D2500_f7_draw0,10,2498,12,12,24,0.960769,0,5.0,44
E1_D2500_f7_draw1,10,2498,6,6,12,0.480384,0,5.0,44
E1_D2500_f7_draw2,10,2498,12,4,16,0.640512,0,5.0,44
E1_D2500_f7_draw3,10,2498,14,12,26,1.040833,0,5.0,44
E1_D2500_f7_draw4,10,2498,36,16,52,2.081665,0,5.0,43
E1_D2500_f7_draw5,10,2498,7,3,10,0.400320,0,5.0,45
E1_D2500_f7_draw6,10,2498,29,17,46,1.841473,0,5.0,45
E1_D2500_f7_draw7,10,2498,18,14,32,1.281025,0,5.0,45
E1_D2500_f14_draw0,10,2498,12,17,29,1.160929,0,5.0,43
E1_D2500_f14_draw1,10,2498,18,17,35,1.401121,0,5.0,45
