substrate,n,method,reference_m,one_effect_pct,all_effect_pct,dense_minus_sparse_pp,top6_effect_pct,top7_effect_pct,top7_minus_top6_pp,legacy_rotation_effect_pct,legacy_iso8_effect_pct,legacy_rotation_minus_iso_pp,opcenter_rotation_effect_pct,opcenter_exact_iso8_effect_pct,opcenter_rotation_minus_iso_pp
recovered29,6.0,DIFF,939.4577557679286,-0.2695439631074381,233.2862738402358,233.55581780334325,9.830629680593916,37.18526357177048,27.35463389117656,14.863717578571514,25.154584860455547,-10.290867281884033,15.525998306051482,3.1775751996724177,12.348423106379064
recovered29,6.0,Min-Max,462.1034699722252,0.029918953975801382,541.9363008459866,541.9063818920108,83.836895208346,220.6680292509266,136.8311340425806,34.48914867028878,6.513027021446251,27.976121648842526,7.9629046295252115,2.834997803629805,5.127906825895407
official32_minus71,3.5,WCL,561.0381783582943,1.7832675106736886,945.8286916812389,944.0454241705652,23.674854303517584,132.99805075798434,109.32319645446677,9.043595531126241,10.650014457132182,-1.60641892600594,7.399696629044249,-0.6392409436492582,8.038937572693508
official32_minus71,3.5,ABS,545.5232282055754,0.4798104991640007,473.8028011853831,473.3229906862191,18.9304924194153,81.27557659982219,62.345084180406886,10.954961340543813,19.71897726231799,-8.764015921774176,7.048342996972102,-0.2698216701059485,7.318164667078051
official32_minus71,3.5,DIFF,982.866888309844,-4.151936769153975,258.9904294017115,263.14236617086544,-8.602197469344343,39.306649032608306,47.90884650195265,13.092957652916963,23.58202189640013,-10.489064243483165,7.551499944761925,2.275818997775481,5.275680946986444
official32_minus71,3.5,Min-Max,471.3808250223458,6.8963345627026404,641.9584317694391,635.0620972067364,73.1535027678733,170.10789675783465,96.95439398996135,8.32892476946777,7.398532448786882,0.9303923206808884,7.681297496682796,-0.8316054844600512,8.512902981142847
official32_minus71,4.7,WCL,593.7425223082155,0.5218616598948254,895.3487271215106,894.8268654616157,26.50233265717738,137.7820604973657,111.27972784018833,11.009199846494344,14.939004064985625,-3.929804218491281,5.614505324635193,-2.676029315621361,8.290534640256553
official32_minus71,4.7,ABS,555.6165186830742,-0.06790834676856165,399.40219919854155,399.4701075453101,9.02156470049607,62.36605954630229,53.34449484580622,5.862477241616874,14.524024713251901,-8.661547471635027,4.148617599378248,-2.544273679977796,6.6928912793560436
official32_minus71,4.7,DIFF,1082.7111969409727,-3.3712338500847188,188.31621563594237,191.68744948602708,-19.857355247770027,17.04597852811646,36.90333377588649,6.684752547807288,20.23222838950533,-13.547475841698041,2.1803007609976377,0.4991658838834215,1.6811348771142163
official32_minus71,4.7,Min-Max,478.88143519512585,6.092491049343786,581.5216340500532,575.4291430007094,56.11823797479609,149.4054386100653,93.2872006352692,7.549308552323291,7.761528134233053,-0.2122195819097623,7.364422487558647,-0.8591023661046581,8.223524853663305
official32_minus71,6.0,WCL,614.3080908923412,0.5522935435422814,877.5580931568799,877.0057996133376,25.05021140766723,143.7898511416805,118.73963973401325,12.588015548110361,20.094827818660047,-7.506812270549686,6.050912672055176,-2.233998001337182,8.284910673392359
