map,window,N,k,added,exhausted_n,newly_exhausted_n,C_pct,delta_C_pp,S_pct,top_ids
official27_common.json,10,2498,11,1,1019,244,40.79263410728583,9.76781425140112,72.69106067623899,"14,69,27,32,9,2,10,5,11,18,1"
official27_common.json,10,2498,12,4,1087,68,43.514811849479585,2.722177742193755,76.95229272811487,"14,69,27,32,9,2,10,5,11,18,1,4"
official27_common.json,10,2498,13,20,1297,210,51.92153722978383,8.406725380304243,81.18573413617416,"14,69,27,32,9,2,10,5,11,18,1,4,20"
official27_common.json,10,2498,14,19,1421,124,56.885508406725386,4.963971176941554,83.91848077813803,"14,69,27,32,9,2,10,5,11,18,1,4,20,19"
official27_common.json,10,2498,15,6,1537,116,61.52922337870296,4.643714971977582,86.54006484483557,"14,69,27,32,9,2,10,5,11,18,1,4,20,19,6"
official27_common.json,10,2498,16,12,1703,166,68.17453963170537,6.645316253002402,89.0690134321445,"14,69,27,32,9,2,10,5,11,18,1,4,20,19,6,12"
official27_common.json,10,2498,17,17,1767,64,70.73658927141715,2.5620496397117694,91.22742010189903,"14,69,27,32,9,2,10,5,11,18,1,4,20,19,6,12,17"
official27_common.json,10,2498,18,7,1909,142,76.42113690952762,5.684547638110488,93.33950903195924,"14,69,27,32,9,2,10,5,11,18,1,4,20,19,6,12,17,7"
official27_common.json,10,2498,19,25,2033,124,81.38510808646917,4.963971176941554,95.07179249652616,"14,69,27,32,9,2,10,5,11,18,1,4,20,19,6,12,17,7,25"
official27_common.json,10,2498,20,70,2159,126,86.42914331465172,5.044035228182546,96.42427049559981,"14,69,27,32,9,2,10,5,11,18,1,4,20,19,6,12,17,7,25,70"
official27_common.json,10,2498,21,34,2285,126,91.47317854283426,5.044035228182546,97.75822139879574,"14,69,27,32,9,2,10,5,11,18,1,4,20,19,6,12,17,7,25,70,34"
official27_common.json,10,2498,22,15,2359,74,94.435548438751,2.9623698959167335,98.68457619268179,"14,69,27,32,9,2,10,5,11,18,1,4,20,19,6,12,17,7,25,70,34,15"
official27_common.json,10,2498,23,37,2419,60,96.83746997598078,2.401921537229784,99.24038906901343,"14,69,27,32,9,2,10,5,11,18,1,4,20,19,6,12,17,7,25,70,34,15,37"
