run,method,k6_pct,k7_pct,jump_pp,positive,largest_early_k,is_largest_k7,largest_early_pp,jumps_1to8,k6_line,k7_line,source
O33R71_N4P7_D1000_W10,Min-Max,10.8,44.3,33.5,True,7,True,33.5,"{""1"": 5.3, ""2"": 6.4, ""3"": 7.4, ""4"": -9.4, ""5"": 12.3, ""6"": -11.2, ""7"": 33.5, ""8"": -27.1}",145,150,results/O33R71_N4P7_D1000_W10.txt
O33R71_N4P7_D5000_W10,WCL,24.9,154.5,129.6,True,7,True,129.6,"{""1"": 6.4, ""2"": -5.1, ""3"": 5.3, ""4"": 1.1, ""5"": 12.9, ""6"": 4.3, ""7"": 129.6, ""8"": -19.7}",145,150,results/O33R71_N4P7_D5000_W10.txt
O33R71_N4P7_D5000_W10,ABS,7.6,70.0,62.4,True,7,True,62.4,"{""1"": 3.6, ""2"": -3.8, ""3"": 2.5, ""4"": -0.1, ""5"": 2.2, ""6"": 3.2, ""7"": 62.4, ""8"": 1.6}",145,150,results/O33R71_N4P7_D5000_W10.txt
O33R71_N4P7_D5000_W10,DIFF,-14.9,25.8,40.7,True,7,True,40.7,"{""1"": -16.2, ""2"": -3.9, ""3"": 0.9, ""4"": 0.4, ""5"": 3.1, ""6"": 0.8, ""7"": 40.7, ""8"": -8.0}",145,150,results/O33R71_N4P7_D5000_W10.txt
O33R71_N4P7_D5000_W10,Min-Max,55.6,163.4,107.8,True,7,True,107.8,"{""1"": 14.7, ""2"": 4.3, ""3"": 1.9, ""4"": 9.6, ""5"": 9.5, ""6"": 15.6, ""7"": 107.8, ""8"": -29.9}",145,150,results/O33R71_N4P7_D5000_W10.txt
O33R71_N4P7_D5000_W5,WCL,111.7,164.5,52.8,True,6,False,97.5,"{""1"": 7.0, ""2"": -6.3, ""3"": 1.3, ""4"": 6.7, ""5"": 5.5, ""6"": 97.5, ""7"": 52.8, ""8"": 2.5}",145,150,results/O33R71_N4P7_D5000_W5.txt
O33R71_N4P7_D5000_W5,ABS,55.6,75.7,20.1,True,6,False,43.3,"{""1"": 4.2, ""2"": -2.0, ""3"": -0.5, ""4"": 5.7, ""5"": 4.9, ""6"": 43.3, ""7"": 20.1, ""8"": 5.2}",145,150,results/O33R71_N4P7_D5000_W5.txt
O33R71_N4P7_D5000_W5,DIFF,11.0,14.5,3.5,True,6,False,30.0,"{""1"": -22.3, ""2"": -2.6, ""3"": -0.7, ""4"": 3.4, ""5"": 3.2, ""6"": 30.0, ""7"": 3.5, ""8"": -3.5}",145,150,results/O33R71_N4P7_D5000_W5.txt
O33R71_N4P7_D5000_W5,Min-Max,116.0,181.1,65.1,True,7,True,65.1,"{""1"": 18.4, ""2"": 4.8, ""3"": 2.0, ""4"": 12.7, ""5"": 22.0, ""6"": 56.1, ""7"": 65.1, ""8"": -43.4}",145,150,results/O33R71_N4P7_D5000_W5.txt
R26M71_N4P7_D5000_W10,WCL,47.7,220.4,172.7,True,7,True,172.7,"{""1"": 4.2, ""2"": -2.9, ""3"": 25.3, ""4"": 7.8, ""5"": 13.9, ""6"": -0.6, ""7"": 172.7, ""8"": -42.6}",145,150,results/R26M71_N4P7_D5000_W10.txt
R26M71_N4P7_D5000_W10,ABS,37.8,61.6,23.8,True,7,True,23.8,"{""1"": 0.8, ""2"": 5.8, ""3"": 10.7, ""4"": 11.8, ""5"": 8.9, ""6"": -0.2, ""7"": 23.8, ""8"": 14.0}",145,150,results/R26M71_N4P7_D5000_W10.txt
R26M71_N4P7_D5000_W10,DIFF,10.6,41.8,31.2,True,7,True,31.2,"{""1"": -5.5, ""2"": -2.2, ""3"": 5.8, ""4"": 3.1, ""5"": 8.6, ""6"": 0.8, ""7"": 31.2, ""8"": -3.5}",145,150,results/R26M71_N4P7_D5000_W10.txt
R26M71_N4P7_D5000_W10,Min-Max,84.0,214.3,130.3,True,7,True,130.3,"{""1"": 11.9, ""2"": 12.6, ""3"": 9.7, ""4"": 16.9, ""5"": 28.1, ""6"": 4.8, ""7"": 130.3, ""8"": -79.0}",145,150,results/R26M71_N4P7_D5000_W10.txt
R27_N4P7_D1000_W10,WCL,22.9,47.5,24.6,True,7,True,24.6,"{""1"": 3.6, ""2"": 9.6, ""3"": 21.5, ""4"": -5.2, ""5"": 1.0, ""6"": -7.6, ""7"": 24.6, ""8"": 0.7}",145,150,results/R27_N4P7_D1000_W10.txt
R27_N4P7_D1000_W10,ABS,19.2,35.8,16.6,True,7,True,16.6,"{""1"": 4.9, ""2"": 11.7, ""3"": -5.0, ""4"": 7.9, ""5"": 8.9, ""6"": -9.2, ""7"": 16.6, ""8"": -12.7}",145,150,results/R27_N4P7_D1000_W10.txt
R27_N4P7_D1000_W10,DIFF,23.5,44.1,20.6,True,7,True,20.6,"{""1"": -0.1, ""2"": 4.0, ""3"": -4.2, ""4"": 10.4, ""5"": 3.2, ""6"": 10.2, ""7"": 20.6, ""8"": -7.7}",145,150,results/R27_N4P7_D1000_W10.txt
R27_N4P7_D1000_W10,Min-Max,24.3,43.1,18.8,True,7,True,18.8,"{""1"": 5.9, ""2"": 13.8, ""3"": 2.2, ""4"": -3.2, ""5"": 9.6, ""6"": -4.0, ""7"": 18.8, ""8"": -11.4}",145,150,results/R27_N4P7_D1000_W10.txt
R27_N4P7_D5000_W10,WCL,47.1,235.5,188.4,True,7,True,188.4,"{""1"": 3.2, ""2"": -1.3, ""3"": 21.2, ""4"": 19.9, ""5"": 5.4, ""6"": -1.3, ""7"": 188.4, ""8"": -54.2}",145,150,results/R27_N4P7_D5000_W10.txt
R27_N4P7_D5000_W10,ABS,36.4,65.0,28.6,True,7,True,28.6,"{""1"": -0.1, ""2"": 5.3, ""3"": 12.5, ""4"": 13.8, ""5"": -0.5, ""6"": 5.4, ""7"": 28.6, ""8"": 2.6}",145,150,results/R27_N4P7_D5000_W10.txt
R27_N4P7_D5000_W10,DIFF,9.3,42.6,33.3,True,7,True,33.3,"{""1"": -8.2, ""2"": 1.6, ""3"": 3.4, ""4"": 7.5, ""5"": 4.5, ""6"": 0.5, ""7"": 33.3, ""8"": -6.1}",145,150,results/R27_N4P7_D5000_W10.txt
R27_N4P7_D5000_W10,Min-Max,89.2,234.5,145.3,True,7,True,145.3,"{""1"": 16.0, ""2"": 15.4, ""3"": 8.6, ""4"": 18.0, ""5"": 23.4, ""6"": 7.8, ""7"": 145.3, ""8"": -87.8}",145,150,results/R27_N4P7_D5000_W10.txt
