run,map,n,D_m,window,N,map_n,source,f,fraction_pct_display,method,median_m,effect_pct,draws,line,min_m,max_m
O27_N4P7_D1000_W10,official27_common.json,4.7,1000,10,2498,27,results/O27_N4P7_D1000_W10.txt,27,100,Min-Max,644.0,45.5,8,86,595.0,719.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,1,4,WCL,555.0,0.9,8,76,550.0,581.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,1,4,ABS,560.0,0.0,8,76,556.0,570.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,1,4,DIFF,1076.0,-2.5,8,76,840.0,1160.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,1,4,Min-Max,446.0,0.8,8,76,442.0,513.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,3,11,WCL,595.0,8.2,8,78,561.0,670.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,3,11,ABS,591.0,5.4,8,78,557.0,617.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,3,11,DIFF,991.0,-10.3,8,78,836.0,1212.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,3,11,Min-Max,519.0,17.3,8,78,452.0,608.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,6,22,WCL,602.0,9.5,8,80,590.0,639.0
O27_N4P7_D5000_W10,official27_common.json,4.7,5000,10,2498,27,results/O27_N4P7_D5000_W10.txt,6,22,ABS,607.0,8.4,8,80,545.0,738.0
