substrate,method,arm,draw,seed,baseline_m,median_error_m,change_pct,source_file,source_sha256
official32_minus71,WCL,exact_profile_random_directions,5,7815,593.7425223082155,606.9877571585557,2.2308044906146294,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7815.npz,91fafb0ffa0dba01a7b62f19503b005251493ddfad4341466de0f5131ba39a01
official32_minus71,ABS,exact_profile_random_directions,5,7815,555.6165186830742,528.1271202001878,-4.947548814430845,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7815.npz,91fafb0ffa0dba01a7b62f19503b005251493ddfad4341466de0f5131ba39a01
official32_minus71,DIFF,exact_profile_random_directions,5,7815,1082.7111969409727,1120.4526705996248,3.4858301793945152,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7815.npz,91fafb0ffa0dba01a7b62f19503b005251493ddfad4341466de0f5131ba39a01
official32_minus71,Min-Max,exact_profile_random_directions,5,7815,478.88143519512585,473.739074910439,-1.0738274459504846,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7815.npz,91fafb0ffa0dba01a7b62f19503b005251493ddfad4341466de0f5131ba39a01
official32_minus71,WCL,exact_profile_random_directions,6,7828,593.7425223082155,563.8382807141885,-5.036567277979714,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7828.npz,3362d6f9bb91e9147264c3d726415dde00d1618dc93be7b69ed535260dfa88ee
official32_minus71,ABS,exact_profile_random_directions,6,7828,555.6165186830742,574.541544400575,3.4061308620479904,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7828.npz,3362d6f9bb91e9147264c3d726415dde00d1618dc93be7b69ed535260dfa88ee
official32_minus71,DIFF,exact_profile_random_directions,6,7828,1082.7111969409727,1058.9805292176347,-2.191781870399531,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7828.npz,3362d6f9bb91e9147264c3d726415dde00d1618dc93be7b69ed535260dfa88ee
official32_minus71,Min-Max,exact_profile_random_directions,6,7828,478.88143519512585,476.9479989525387,-0.4037400701907273,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7828.npz,3362d6f9bb91e9147264c3d726415dde00d1618dc93be7b69ed535260dfa88ee
official32_minus71,WCL,exact_profile_random_directions,7,7841,593.7425223082155,554.2881011945594,-6.645038822598428,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7841.npz,724fb12986ec18acf10bacb449b748851cd9e1f55700370845eccbd6726067e9
official32_minus71,ABS,exact_profile_random_directions,7,7841,555.6165186830742,567.7911532569514,2.191193775651872,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7841.npz,724fb12986ec18acf10bacb449b748851cd9e1f55700370845eccbd6726067e9
official32_minus71,DIFF,exact_profile_random_directions,7,7841,1082.7111969409727,1023.9145049257766,-5.43050558462098,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7841.npz,724fb12986ec18acf10bacb449b748851cd9e1f55700370845eccbd6726067e9
official32_minus71,Min-Max,exact_profile_random_directions,7,7841,478.88143519512585,475.7956319986181,-0.6443772862588435,rotation/opcenter_raw/official32_minus71__opcenter_exact_iso_7841.npz,724fb12986ec18acf10bacb449b748851cd9e1f55700370845eccbd6726067e9
