D_m,f,fraction_pct_reported,fraction_pct_exact,method,median_m,effect_pct,draws,source_file,source_line
2500,3,10,10.344827586206897,DIFF,991.0,2.8,8,results/base_logs/diffrepair_e1_d2500.txt,78
2500,3,10,10.344827586206897,Min-Max,486.0,4.2,8,results/base_logs/diffrepair_e1_d2500.txt,78
2500,7,24,24.137931034482758,WCL,700.0,17.2,8,results/base_logs/diffrepair_e1_d2500.txt,80
2500,7,24,24.137931034482758,ABS,696.0,8.5,8,results/base_logs/diffrepair_e1_d2500.txt,80
2500,7,24,24.137931034482758,DIFF,1075.0,11.5,8,results/base_logs/diffrepair_e1_d2500.txt,80
2500,7,24,24.137931034482758,Min-Max,557.0,19.5,8,results/base_logs/diffrepair_e1_d2500.txt,80
2500,14,48,48.275862068965516,WCL,877.0,46.8,8,results/base_logs/diffrepair_e1_d2500.txt,82
2500,14,48,48.275862068965516,ABS,741.0,15.6,8,results/base_logs/diffrepair_e1_d2500.txt,82
2500,14,48,48.275862068965516,DIFF,1127.0,16.9,8,results/base_logs/diffrepair_e1_d2500.txt,82
2500,14,48,48.275862068965516,Min-Max,658.0,41.2,8,results/base_logs/diffrepair_e1_d2500.txt,82
2500,21,72,72.41379310344827,WCL,1048.0,75.3,8,results/base_logs/diffrepair_e1_d2500.txt,84
2500,21,72,72.41379310344827,ABS,843.0,31.5,8,results/base_logs/diffrepair_e1_d2500.txt,84
2500,21,72,72.41379310344827,DIFF,1306.0,35.5,8,results/base_logs/diffrepair_e1_d2500.txt,84
2500,21,72,72.41379310344827,Min-Max,773.0,65.8,8,results/base_logs/diffrepair_e1_d2500.txt,84
2500,29,100,100.0,WCL,1529.0,155.9,8,results/base_logs/diffrepair_e1_d2500.txt,86
2500,29,100,100.0,ABS,1141.0,78.1,8,results/base_logs/diffrepair_e1_d2500.txt,86
2500,29,100,100.0,DIFF,1619.0,67.9,8,results/base_logs/diffrepair_e1_d2500.txt,86
2500,29,100,100.0,Min-Max,1058.0,127.1,8,results/base_logs/diffrepair_e1_d2500.txt,86
10000,1,3,3.4482758620689653,WCL,598.0,0.1,8,results/base_logs/diffrepair_e1_d10000.txt,76
10000,1,3,3.4482758620689653,ABS,645.0,0.6,8,results/base_logs/diffrepair_e1_d10000.txt,76
10000,1,3,3.4482758620689653,DIFF,957.0,-0.8,8,results/base_logs/diffrepair_e1_d10000.txt,76
10000,1,3,3.4482758620689653,Min-Max,467.0,0.1,8,results/base_logs/diffrepair_e1_d10000.txt,76
10000,3,10,10.344827586206897,WCL,622.0,4.0,8,results/base_logs/diffrepair_e1_d10000.txt,78
10000,3,10,10.344827586206897,ABS,681.0,6.3,8,results/base_logs/diffrepair_e1_d10000.txt,78
10000,3,10,10.344827586206897,DIFF,965.0,0.1,8,results/base_logs/diffrepair_e1_d10000.txt,78
10000,3,10,10.344827586206897,Min-Max,549.0,17.8,8,results/base_logs/diffrepair_e1_d10000.txt,78
10000,7,24,24.137931034482758,WCL,706.0,18.1,8,results/base_logs/diffrepair_e1_d10000.txt,80
10000,7,24,24.137931034482758,ABS,705.0,10.0,8,results/base_logs/diffrepair_e1_d10000.txt,80
10000,7,24,24.137931034482758,DIFF,948.0,-1.7,8,results/base_logs/diffrepair_e1_d10000.txt,80
10000,7,24,24.137931034482758,Min-Max,703.0,50.8,8,results/base_logs/diffrepair_e1_d10000.txt,80
10000,14,48,48.275862068965516,WCL,916.0,53.3,8,results/base_logs/diffrepair_e1_d10000.txt,82
10000,14,48,48.275862068965516,ABS,878.0,37.0,8,results/base_logs/diffrepair_e1_d10000.txt,82
10000,14,48,48.275862068965516,DIFF,1107.0,14.8,8,results/base_logs/diffrepair_e1_d10000.txt,82
10000,14,48,48.275862068965516,Min-Max,918.0,97.0,8,results/base_logs/diffrepair_e1_d10000.txt,82
10000,21,72,72.41379310344827,WCL,1403.0,134.8,8,results/base_logs/diffrepair_e1_d10000.txt,84
10000,21,72,72.41379310344827,ABS,1155.0,80.2,8,results/base_logs/diffrepair_e1_d10000.txt,84
10000,21,72,72.41379310344827,DIFF,1530.0,58.7,8,results/base_logs/diffrepair_e1_d10000.txt,84
10000,21,72,72.41379310344827,Min-Max,1441.0,209.2,8,results/base_logs/diffrepair_e1_d10000.txt,84
10000,29,100,100.0,WCL,5649.0,845.2,8,results/base_logs/diffrepair_e1_d10000.txt,86
10000,29,100,100.0,ABS,3012.0,369.8,8,results/base_logs/diffrepair_e1_d10000.txt,86
10000,29,100,100.0,DIFF,3305.0,242.9,8,results/base_logs/diffrepair_e1_d10000.txt,86
10000,29,100,100.0,Min-Max,3182.0,582.9,8,results/base_logs/diffrepair_e1_d10000.txt,86
