k,arm,selection_share,method,median_m,effect_pct,draws,source_file,source_line
8,random,0.271,ABS,736.0,14.8,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,153
8,random,0.271,DIFF,1024.0,6.3,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,153
8,random,0.271,Min-Max,654.0,40.3,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,153
9,top,0.635,WCL,1778.0,197.5,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,154
9,top,0.635,ABS,1076.0,67.9,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,154
9,top,0.635,DIFF,1362.0,41.3,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,154
9,top,0.635,Min-Max,1324.0,184.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,154
9,bottom,0.04,WCL,601.0,0.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,156
9,bottom,0.04,ABS,646.0,0.7,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,156
9,bottom,0.04,DIFF,954.0,-1.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,156
9,bottom,0.04,Min-Max,472.0,1.3,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,156
9,random,0.306,WCL,833.0,39.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,158
9,random,0.306,ABS,769.0,19.9,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,158
9,random,0.306,DIFF,1011.0,4.9,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,158
9,random,0.306,Min-Max,723.0,55.2,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,158
10,top,0.682,WCL,2287.0,282.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,159
10,top,0.682,ABS,1170.0,82.5,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,159
10,top,0.682,DIFF,1446.0,50.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,159
10,top,0.682,Min-Max,1597.0,242.8,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,159
10,bottom,0.054,WCL,601.0,0.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,161
10,bottom,0.054,ABS,646.0,0.8,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,161
10,bottom,0.054,DIFF,956.0,-0.8,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,161
10,bottom,0.054,Min-Max,468.0,0.5,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,161
10,random,0.375,WCL,905.0,51.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,163
10,random,0.375,ABS,789.0,23.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,163
10,random,0.375,DIFF,1083.0,12.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,163
10,random,0.375,Min-Max,736.0,57.9,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,163
11,top,0.726,WCL,2287.0,282.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,164
11,top,0.726,ABS,1176.0,83.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,164
11,top,0.726,DIFF,1473.0,52.8,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,164
11,top,0.726,Min-Max,1575.0,238.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,164
11,bottom,0.07,WCL,601.0,0.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,166
11,bottom,0.07,ABS,647.0,0.9,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,166
11,bottom,0.07,DIFF,961.0,-0.3,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,166
11,bottom,0.07,Min-Max,471.0,1.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,166
11,random,0.392,WCL,881.0,47.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,168
11,random,0.392,ABS,842.0,31.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,168
11,random,0.392,DIFF,1043.0,8.2,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,168
11,random,0.392,Min-Max,755.0,62.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,168
12,top,0.769,WCL,2654.0,344.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,169
12,top,0.769,ABS,1320.0,105.9,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,169
12,top,0.769,DIFF,1623.0,68.3,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,169
12,top,0.769,Min-Max,1712.0,267.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,169
12,bottom,0.092,WCL,622.0,4.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,171
12,bottom,0.092,ABS,680.0,6.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,171
12,bottom,0.092,DIFF,986.0,2.3,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,171
12,bottom,0.092,Min-Max,494.0,5.9,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,171
12,random,0.443,WCL,894.0,49.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,173
12,random,0.443,ABS,783.0,22.2,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,173
12,random,0.443,DIFF,1038.0,7.7,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,173
12,random,0.443,Min-Max,805.0,72.7,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,173
13,top,0.812,WCL,2412.0,303.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,174
13,top,0.812,ABS,1284.0,100.3,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,174
13,top,0.812,DIFF,1691.0,75.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,174
13,top,0.812,Min-Max,1914.0,310.8,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,174
13,bottom,0.114,WCL,623.0,4.2,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,176
13,bottom,0.114,ABS,681.0,6.2,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,176
13,bottom,0.114,DIFF,980.0,1.7,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,176
13,bottom,0.114,Min-Max,494.0,6.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,176
13,random,0.439,WCL,872.0,45.9,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,178
13,random,0.439,ABS,795.0,24.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,178
13,random,0.439,DIFF,1087.0,12.8,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,178
13,random,0.439,Min-Max,696.0,49.3,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,178
14,top,0.839,WCL,2666.0,346.1,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,179
14,top,0.839,ABS,1361.0,112.3,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,179
14,top,0.839,DIFF,1665.0,72.7,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,179
14,top,0.839,Min-Max,1885.0,304.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,179
14,bottom,0.137,WCL,650.0,8.7,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,181
14,bottom,0.137,ABS,678.0,5.8,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,181
14,bottom,0.137,DIFF,985.0,2.2,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,181
14,bottom,0.137,Min-Max,503.0,8.0,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,181
14,random,0.529,WCL,1090.0,82.4,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,183
14,random,0.529,ABS,894.0,39.5,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,183
14,random,0.529,DIFF,1230.0,27.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,183
14,random,0.529,Min-Max,869.0,86.6,8,results/base_logs/diffrepair_e2b_k14_dir8.txt,183
