D_m,angle_deg,method,median_m,effect_pct,source_file,source_line
1000,120,DIFF,1603.0,66.2,results/base_logs/diffrepair_e3b_angles.txt,169
1000,120,Min-Max,791.0,69.8,results/base_logs/diffrepair_e3b_angles.txt,169
1000,150,WCL,881.0,47.5,results/base_logs/diffrepair_e3b_angles.txt,170
1000,150,ABS,880.0,37.3,results/base_logs/diffrepair_e3b_angles.txt,170
1000,150,DIFF,1329.0,37.9,results/base_logs/diffrepair_e3b_angles.txt,170
1000,150,Min-Max,802.0,72.2,results/base_logs/diffrepair_e3b_angles.txt,170
1000,180,WCL,967.0,61.8,results/base_logs/diffrepair_e3b_angles.txt,171
1000,180,ABS,751.0,17.1,results/base_logs/diffrepair_e3b_angles.txt,171
1000,180,DIFF,1012.0,4.9,results/base_logs/diffrepair_e3b_angles.txt,171
1000,180,Min-Max,814.0,74.7,results/base_logs/diffrepair_e3b_angles.txt,171
1000,210,WCL,1068.0,78.8,results/base_logs/diffrepair_e3b_angles.txt,172
1000,210,ABS,903.0,40.8,results/base_logs/diffrepair_e3b_angles.txt,172
1000,210,DIFF,1084.0,12.4,results/base_logs/diffrepair_e3b_angles.txt,172
1000,210,Min-Max,859.0,84.2,results/base_logs/diffrepair_e3b_angles.txt,172
1000,240,WCL,1196.0,100.1,results/base_logs/diffrepair_e3b_angles.txt,173
1000,240,ABS,1131.0,76.4,results/base_logs/diffrepair_e3b_angles.txt,173
1000,240,DIFF,1341.0,39.1,results/base_logs/diffrepair_e3b_angles.txt,173
1000,240,Min-Max,966.0,107.3,results/base_logs/diffrepair_e3b_angles.txt,173
1000,270,WCL,1244.0,108.1,results/base_logs/diffrepair_e3b_angles.txt,174
1000,270,ABS,1211.0,88.9,results/base_logs/diffrepair_e3b_angles.txt,174
1000,270,DIFF,1449.0,50.3,results/base_logs/diffrepair_e3b_angles.txt,174
1000,270,Min-Max,1000.0,114.7,results/base_logs/diffrepair_e3b_angles.txt,174
1000,300,WCL,1315.0,120.1,results/base_logs/diffrepair_e3b_angles.txt,175
1000,300,ABS,1116.0,74.2,results/base_logs/diffrepair_e3b_angles.txt,175
1000,300,DIFF,1424.0,47.7,results/base_logs/diffrepair_e3b_angles.txt,175
1000,300,Min-Max,970.0,108.1,results/base_logs/diffrepair_e3b_angles.txt,175
1000,330,WCL,1303.0,118.0,results/base_logs/diffrepair_e3b_angles.txt,176
1000,330,ABS,940.0,46.7,results/base_logs/diffrepair_e3b_angles.txt,176
1000,330,DIFF,1342.0,39.2,results/base_logs/diffrepair_e3b_angles.txt,176
1000,330,Min-Max,983.0,110.9,results/base_logs/diffrepair_e3b_angles.txt,176
