D_m,family,method,median_m,effect_pct,draws,source_file,source_line
1000,iso x8 med,Min-Max,685.0,47.1,8,results/base_logs/diffrepair_e3b_angles.txt,185
2500,outward,WCL,2185.0,265.6,1,results/base_logs/diffrepair_e3b_angles.txt,186
2500,outward,ABS,1006.0,56.9,1,results/base_logs/diffrepair_e3b_angles.txt,186
2500,outward,DIFF,1605.0,66.5,1,results/base_logs/diffrepair_e3b_angles.txt,186
2500,outward,Min-Max,2092.0,348.9,1,results/base_logs/diffrepair_e3b_angles.txt,186
2500,iso x8 med,WCL,1634.0,173.4,8,results/base_logs/diffrepair_e3b_angles.txt,187
2500,iso x8 med,ABS,1059.0,65.3,8,results/base_logs/diffrepair_e3b_angles.txt,187
2500,iso x8 med,DIFF,1634.0,69.5,8,results/base_logs/diffrepair_e3b_angles.txt,187
2500,iso x8 med,Min-Max,1102.0,136.5,8,results/base_logs/diffrepair_e3b_angles.txt,187
5000,outward,WCL,4465.0,647.1,1,results/base_logs/diffrepair_e3b_angles.txt,188
5000,outward,ABS,1576.0,145.8,1,results/base_logs/diffrepair_e3b_angles.txt,188
5000,outward,DIFF,2444.0,153.5,1,results/base_logs/diffrepair_e3b_angles.txt,188
5000,outward,Min-Max,4294.0,821.3,1,results/base_logs/diffrepair_e3b_angles.txt,188
5000,iso x8 med,WCL,3192.0,434.0,8,results/base_logs/diffrepair_e3b_angles.txt,189
5000,iso x8 med,ABS,1591.0,148.2,8,results/base_logs/diffrepair_e3b_angles.txt,189
5000,iso x8 med,DIFF,1864.0,93.4,8,results/base_logs/diffrepair_e3b_angles.txt,189
5000,iso x8 med,Min-Max,1816.0,289.6,8,results/base_logs/diffrepair_e3b_angles.txt,189
10000,outward,WCL,9207.0,1440.5,1,results/base_logs/diffrepair_e3b_angles.txt,190
10000,outward,ABS,5369.0,737.6,1,results/base_logs/diffrepair_e3b_angles.txt,190
10000,outward,DIFF,6445.0,568.6,1,results/base_logs/diffrepair_e3b_angles.txt,190
10000,outward,Min-Max,8401.0,1702.8,1,results/base_logs/diffrepair_e3b_angles.txt,190
10000,iso x8 med,WCL,6054.0,913.0,8,results/base_logs/diffrepair_e3b_angles.txt,191
10000,iso x8 med,ABS,2986.0,365.8,8,results/base_logs/diffrepair_e3b_angles.txt,191
10000,iso x8 med,DIFF,3317.0,244.1,8,results/base_logs/diffrepair_e3b_angles.txt,191
10000,iso x8 med,Min-Max,3734.0,701.4,8,results/base_logs/diffrepair_e3b_angles.txt,191
